English,Danish,Dutch,Finnish,French,German,Indonesian,Italian,Japanese,Latin,Norwegian,Portuguese,Spanish,Swahili,Swedish
east,øst,oosten,itä,est,osten,-,est,azuma,-,øst,leste,este,mashariki,ost
easy,let,licht,helppo,léger,unschwer,-,semplice,zousanai,facilis,behagelig,fácil,facil,rahisi,ledig
effect,resultat,indruk,teho,effet,ergebnis,akibat,effetto,tegotae,-,virkning,efeito,efecto,-,effekt
egg,æg,ei,muna,oeuf,ei,-,uovo,-,ovum,egg,ovo,huevo,yai,ägg
eight,otte,acht,kahdeksan,huit,acht,delapan,otto,hatsu,octo,åtte,oito,ocho,nane,åtta
eighteen,atten,achttien,kahdeksantoista,dix huit,achtzehn,-,diciotto,juuhachi,duodeviginti,atten,dezóito,dieciocho,kumi na nane,aderton
elephant,elefant,olifant,norsu,éléphant,elefant,gajah,elefante,zou,barrus,elefant,elefante,elefante,ndovu,-
eleven,elleve,elf,yksitoista,onze,elf,-,undici,irebun,undecim,elleve,onze,once,kumi na -moja,elva
employ,tilbringe,aannemen,palkata,braquer,beschäftigung,menggunakan,occupare,you,-,ansette,empregar,colocar,-,anställa
empty,tømme,hol,tyhjä,videz,ausleeren,leher,vuotare,karappo,inanis,tom,vácuo,evacuar,tupu,tömma
end,fuldende,uiterste deel,loppu,se dénouer,schluß,akhir,al punto più estremo,shuuryou,finis,utløpe,extremidade,terminar,mwisho,slut
ending,ende,uitgang,loppu,fin,ende,akhir,ultimazione,musubi,finis,slutt,fim,final,mwisho,ändelse
engine,lokomotiv,locomotief,kone,réacteur,motor,motor,locomotiva,enjin,-,maskin,motor,maquina,mtambo,maskin
enough,nok,genoeg,kylliksi,suffisant,genug,-,abbastanza,juubun,-,nok,bastantes,basta,a kutosha,nog
entire,hel,compleet,koko,global,ganze,-,globale,zenbu,totus,hel,inteiro,entero,zima,locka
envelope,konvolut,couvert,kirjekuori,enveloppe,briefumschlag,amplop,involucro,enbero-pu,-,konvolutt,envelope,sobre,-,kuvert
error,fejl,fout,virhe,erreur,irrtum,salah,vizio,sonji,error,mistak,defeito,equivocación,kosa,villfarelse
estate,bondegård,goed,maatila,bien,grundbesitz,-,fattoria,esute-to,villa,gods,fazenda,granja,-,gods
estimate,vurdere,schatten,arvioida,devis,abschätzen,menaksir,valutazione,yosoudaka,appretiare,vurdering,avaliar,estimar,-,värdera
europe,europa,europa,eurooppa,europe,europa,eropah,europa,youroppa,-,europa,europa,europa,ulaya,europa
evade,undvige,ontwijken,välttää,évader,ausweichen,menghindari,schivare,-,abscedere,lure seg unna,evitar,evadir,-,undanbe sig
even,flad,gelijk,yhtäläinen,soi même,gerade (zahl),-,anzi,nimo,vel,flat,mesmo,incluso,-,slät
ever,nogensinde,eenmaal,jolloinkin,jaùais,jemals,-,a secondo,toko,-,alltid,sempre,alguna vez,o -ote,någonsin
every,al,elk,jokainen,toute,jeder,tiap,ogni,sorezore,-,enhver,todo,cada,ote,var
everyone,al,iedere,jokainen,chacun,jeder,tiap,ognuno,minasan,-,alle,todo,cada,ote,alla
example,eksempel,toonbeeld,esimerkki,exemple,beispiel,umpama,esempio,hyouhon,proplasma,eksempel,exemplo,cala a,-,exempel
expensive,kær,kostbaar,kallis,coûteux,teuer,mahal,caro,takai,carus,kostbar,caro,caro,ghali,dyr
expire,dø,aflopen,kuolla,expirons,verfallen,berakhir,decorrere,ekusupaia,necare,utløpe,morrer,caducar,-,utlöpa
eye,øje,kijker,silmä,maille,auge {n},mata,occhio,manako,oculus,øye,olho,ojo,jicho,ögla
face,ansigt,het hoofd bieden,kasvot,visage,beschichten,muka,viso,men,facies,ansikt,cara,fisonomía,uso,ansikte
fact,faktum,feit,tosiasia,factum,tatsache,kenyataan,realtà,arugamama,-,faktum,fato,hecho,-,faktum
factory,fabrik,fabriek,tehdas,fabrique,fabrik,-,ditta,fakutori,-,fabrikk,fábrica,fábrica,karakana,fabrik
faint,svag,zwak,pyörtyä,s'évanouir,matt,lemah,deliquio,bon'yari,-,svak,fraco,desmayarse,hafifu,matt
fair,blond,marktplein,markkinat,blond,blond,adil,fecente,soutou,-,-,justo,catiro,soko,hygglig
faithful,tro,trouw,uskollinen,loyal,sinngetreu,setia,fido,chuujitsu,-,trofast,fiel,fiel,-,trogen
false,falsk,loos,-,postiche,unwahr,palsu,fasullo,heki,falsus,falsk,falso,impropio,-,osann
family,familie,gezin,perhe,famille,rechnerfamilie,keluarga,famiglia,shuzoku,familia,familie,família,familia,-,familj
farewell,afsked,vaarwel,hyvästi,adieu,lebewohl,-,separazione,saraba,ave,farvell,adeus,adios,kwa herini,farväl
farm,bondegård,agrarisch,vuokrata maata,domaine,farm,-,fattoria,noujou,villa,gård,granja,agrario,-,bondgård
fast,hurtig,vasten,luja,vite,schnell,lekas,presto,subayai,-,rask,rápido,cuaresma,epesi,fasta
fat,fed,lijvig,rasva,gros,fett,-,grassello,nikudzukinoyoi,arvina,fett,gordo,engrase,nono,fet
father,fader,pater,isä,pere,vater,bapak,padre,otokooya,abbas,far,pai,padre,baba,far 
fear,angst,beklemming,pelätä,angoisse,fürchten,-,angoscia,osore,-,frykte,receio,recelo,hofu,befara
feather,-,pluim,kynä,plume,feder,-,penna,feza-,pinna,fjær,pena,pluma,kalamu,fjäder
february,februar,sprokkelmaand,helmikuu,février,februar,pebruari,febbraio,nigatsu,-,februar,fevereiro,febrero,februari,februari
feed,spise,eten,syödä,nourrir,eingabe,makan,mangiare,esa,-,måltid,alimentação,alimentar,-,mata
fellow,mand,aaneen,mies,ensemble,bursche,-,uomo,tomogara,vir,medlem,companheiro,compañero,mwanamume,kurre
fetch,hente,brengen,-,apporter,abruf {m},ambil ... mengambil,portare,fecchi,adducere,innbringe,busque,sacar,-,apportera
fever,feber,koorts,kuume,fièvre,fieber,demam,febbre,netsu,-,feber,febre,fiebre,homa,feber
field,mark,akker,pelto,champ,feld,-,territorio,no,ager,felt,campo,recinto,shamba,fält
fifteen,femten,vijftien,viisitoista,quinze,fünfzehn,-,quindici,juugo,quindecim,femten,quinze,quince,kumi na -tano,femton
fifty,halvtreds,vijftig,viisikymmentä,cinquante,fünfzig,-,cinquanta,-,quinquaginta,femti,cinqüênta,cincuenta,hamsini,femtio
file,fil,bestand,viilata,ranger,feile,baris,lima,yasuri,vicis,arkiv,fila,reglamentar,-,arkivera
finally,endelig,eindelijk,-,enfin,endlich,akhirnya,finalmente,ageku,tandem,endelig,finalmente,finalmente,-,slutligen
fine,bøde,net,kaunis,tendre,fein,cantik,multa,bakkin,pulcher,skjønn,belo,fino,bora,vite
finger,finger,vinger,sormi,digitale,finger,jari,dito,finga-,digitus,ta på,dedo,palpar,kidole,tumma på
finished,færdig,beëindigd,valmis,prêt,beendete,siap,perfetto,-,-,ferdig,terminado,listo,tayari,färdig
fire,skyde,ontzetten,tuli,larguer,schießen,api,buttare fuori,kasai,-,varme,fogo,disparar,moto,eld
firm,fast,gevestigd,luja,social,fest,gagah,comitiva,shoukai,-,firma,firma,sociedad,-,fast
first,først,eerste,-,premier,zunächst,-,primo,kan,primus,første,primeiramente,primeramente,a kwanza,förnämst
fish,fisk,vissen,kala,poisson,fischen,ikan,pescare,uo,piscis,fisk,peixe,pescar,samaki,fisk
five,fem,vijf,viisi,cinq,fünf,lima,cinque,go,quinque,fem,cinco,cinco,tano,fem
flat,flad,appartement,tasainen,plat,flach,flat,appartamento,furatto,-,flat,liso,liso,-,våning
float,svømme,vlotten,uida,flottent,floß,berenang,zattera,yatai,natare,flottør,nadar,nadar,-,vaja
floor,etage,verdieping,kerros,plancher,fußboden,lantai,pavimento,yuka,-,etasje,andar,pavimento,-,golv
flour,mel,meel,jauhot,farine,mehl,-,farina,komugiko,-,mel,farinha,harina,unga,mjöl
flow,flyde,stromen,virrata,coulons,fließen,alir ... mengalir,fluviale,furo-,-,flo,fluxo,flujo,-,flöda
flower,blomst,bloem,kukka,fleur,blume,bunga,fiore,kusabana,flos,blomst,flor,flor,ua,blomma
fly,flyve,aanvliegen,kärpänen,voler,fliegen,terbang,andara,hae,volare,flykte,voar,mosca,inzi,fluga
fog,tåge,nevel,sumu,masquer,verschleiern,-,foschia,fogu,caligo,dis,neblina,bruma,-,dimma
fold,fold,omvouwen,taivuttaa,pliez,falten,lipat,grinza,bai,-,fold,dobra,doblar,-,vika
folk,folk,volk,kansa,peuple,leute,-,gente,minkan,populus,mennesker,povo,pueblo,watu,-
follow,følge,opvolgen,seurata,suivre,folgen,mengikuti,conseguire,forou,-,følge,sequir,perseguir,-,följa
foot,fod,voet,jalka,pédestre,basis,-,base,fi-to,pes,fot,pé,pie,mguu,stativ
for,forbi,gedurende,aikana,pour,als,-,per,taishite,-,til,durante,pues,ili,ty
force,tvinge,doordrukken,tyrkyttää,forcez,kraft,paksa ... memaksa,effetto,chikara,construprare,styrke,força,poderio,-,kraft
foreign,udenlandsk,uitheems,vieras,-,ausländisch,asing,straniero,taigai,advena,-,extrangeiro,ajeno,a kigeni,utlänsk
foreigner,udlænding,buitenlander,-,étrangère,ausländer {m},orang asing,straniera,takokujin,barbarus,fremmed,estrangeiro,extranjero,mgeni,utlänning
forest,skov,woud,-,forestier,wald,-,selva,hayashi,silva,skog,floresta,bosque,msitu,skog
formerly,forhen,daarvoor,-,jadis,förmlich,sebelumnya,davanti,kyuurai,ante,tidligere,diante,delante,mbele,fordom
fountain,kilde,fontein,kaivo,évent,brunnen,mata-air,sorgente,izumi,-,kilde,fonte,procedencia,-,fontän
four,fire,vier,neljä,quatre,vier,empat,quattro,yottsu,quattuor,fire,quatro,cuatro,nne,fyra
fourteen,fjorten,veertien,neljätoista,quatorze,vierzehn,-,quattordici,juushi,quattuordecim,fjorten,quatorze,catorce,kumi na -nne,fjorton
fourth,fjerde,vierde,neljäs,quart,viertes,-,quarta,-,quartus,fjærde,quinto,cuarto,a nne,fjärde
free,gratis,onbezet,vapaa,loisirs,freigeben,-,rilasciare,furi-,liber,ledig,livre,dispensar,-,fri
friday,fredag,vrijdag,perjantai,vendredi,freitag,jumat,venerdí,kin'youbi,-,fredag,sexta-feira,viernes,ijumaa,fredag
friend,veninde,vriendin,ystävä,amie,freundin,kawan,camerata,kaonajimi,amica,venn,amiga,camarada,rafiki,vän
friendly,venlig,voorkomend,ystävällinen,aimable,befreundetem,baik-haiti,cortese,hitonatsukkoi,comis,vennskapelig,amigável,amistoso,-,vänlig
frog,frø,kikker,sammakko,grenouille,frosch,kodok,rana,kaeru,-,frosk,rã,rana,chura,groda
from,ud,sedert,ulos,flamé,von,-,da,kara,a,etter,de,de,kwa,ifrån
fruit,frugt,vrucht,hedelmä,fruitier,obst,buah,frutti,mi,-,frukt,fruta,fruta,-,frukt
full,fuld,totaal,kylläinen,rempli,völlig,-,gremito,ippai,plenus,fullstendig,completamente,lleno,-,full
gain,erhverv,acquest,voittaa,gagner,verstärkung,-,prodotto,gein,-,gagn,ganho,provecho,faida,vinst
game,leg,spel,-,jeu,spiel,permainan,giuoco,emono,-,spill,jogo,baraja,mchezo,parti
garden,have,hof,puutarha,jardin,garten,kebun,giardino,niwa,hortus,have,jardim,jardin,bustani,trädgård
gate,dør,draaihek,ovi,porte,sperre,-,valvola,seki,ianua,port,porta,paso,mlango,grind
gather,slutte,deduceren,tehdä johtopäätös,cueillent,erfassen,kumpulkan,raccogliere,gyaza-,concludere,plukke,recolhimento,cosechar,-,samla
gentle,sød,liefelijk,makea,doux,zahm,manis,dolce,nagoyaka,dulcis,søt,suave,dulce,tamu,vek
get,gribe,verkrijgen,hankkia,acquérir,bringen,ambil ... mengambil,arrivare,choudai,capere,hente,receber,acoger,-,bliva
gift,gave,gift,lahja,cadeau,gabe,pemberian,presente,atae,donum,gave,presente,regalo,-,present
give,give,schenken,antaa,donnent,eingeben,beri ... memberi,dare,-,dare,gi,elasticidade,donar,-,giva
glass,glas,drinkglas,juomalasi,verre,spiegel,-,calice,garasu,-,speil,vidro,cascara,kioo,glas
goal,hensigt,doelstelling,päämäärä,but,zielpunkt,maksud,scopo,go-ru,-,mål,alvo,fin,-,mål
goat,ged,sik,-,chevre,geiß,kambing,capra,yagi,caper,geit,cabra,cabra,mbuzi,get
god,gud,god,jumala,dieux,gutes,allah,iddio,kamisama,deus,gud,deus,dios,mungu,gud
gold,guld,gulden,kulta,or,gold,emas,oro,go-rudo,aureus,gull,ouro,oro,-,-
good,god,okee,hyvä,bon,gut,-,buono,tame,bonus,god,bom,bueno,ema,bra
goodbye,farvel,vaarwel,hyvästi,adieu,auf wiedersehen,-,arrivederci,adiosu,ave,farvel,adeus,adiós,kwa herini,farväl
goose,gås,gans,hanhi,oie,gans,-,oca,gachou,anser,gås,ganso,oca,-,gås
grade,grad,graad,aste,degré,einteilen,pangkat,sorta,kurai,-,trinn,classe,grado,cheo,gradera
grape,vindrue,druif,rypäle,raisin,weintraube,-,uva,gure-pu,botrys,drue,uva,uva,-,druva
grass,græs,gras,ruoho,herbe,gras,rumput,erba,gurasu,-,gress,erva,césped,majani,gräs
grease,fedt,invetten,rasva,graisse,abschmieren,-,grassello,guri-su,arvina,fett,graxa,grasa,-,fett
green,grøn,groen,vihreä,vert,grün,hijau,verde,ao,cæruleus,grønn,verde,verde,-,grönt
greeting,hilsen,saluut,tervehdys,salutation,begrüßung,salam,vale,eshaku,-,hilsen,cumprimento,saludo,salamu,hälsning
ground,grund,achtergrond,pohja,sol,maße,-,suolo,daichi,-,årsak,fundo,suelo,udongo,mark
guard,konduktør,bewaken,vartioida,contrôleur,bewachen,-,proteggere,goei,custodia,garde,protetor,guardar,mlinzi,akta
guest,gæst,gast,vieras,convive,gast,-,ospite,okyakusan,conviva,gjest,convidado,huésped,mgeni,främmande
guide,føre,besturen,opastaa,conduire,führen,pimpin,introduzione,sendatsu,adducere,-,guia,impuestos,-,vägleda
habit,sædvane,aanwensel,tapa,habitude,angewohnheit {f},kebiasaan,costumanza,narawashi,consuetudo,drakt,hábito,hábito,desturi,vana
hair,hår,haardos,hius,chevelure,haar,-,capelli,hea,capillus,hår,pêlo,cabello,nywele,hårstrå
hammer,hammer,hameren,-,martelez,hammer,palu,martello,kanadzuchi,marcus,hamre,martelo,acotillo,-,hamra
hand,arbejder,aanreiken,käsi,ouvrier,hand,pekerja,mano,te,manus,hånd,mão,obrero,mkono,hand
handsome,skøn,fijn,kaunis,beau,gutaussehend,cantik,-,rippa,formosus,-,belo,bonito,zuri,vacker
hang,hænge,hangen,riippua,pendre,hängen,-,appiccare,hangu,pendere,henge,cair,colgar,-,hänga
happen,ske,toegaan,tapahtua,se passer,geschehen,terjadi,avvenire,-,accidere,hende,aconteça,ocurrir,-,ske
happy,lykkelig,gelukkig,onnellinen,chanceux,glücklich,senang,lieto,yukai,-,glad,feliz,feliz,-,lycklig
hard,vanskelig,hard,-,dur,fest,-,solido,sobou,difficilis,hard,difícil,duro,gumu,hård
hare,hare,haas,jänis,lièvre,hase,-,lepre,usagi,-,hare,lebre,liebre,sungura,hare
harvest,høst,oogst,korjata,récoltent,herbst,-,raccolto,minori,-,avling,colheita,cosechar,mavuno,skörda
have,modtage,erop nahouden,saada,avons,besitzen,menerima,prendere,-,habere,ha,haver,poseer,na,ha
he,han,hij,hän,lui,er,-,lui,hyu-man'enjiniaringu,-,han,ele,él,yeye,han
head,hoved,geleiden,pää,tête,kopf,pimpin,capoccia,kashira,caput,leder,cabeça,cabeza,kichwa,chef
healthy,sund,gezond,terve,sain,gesünder,sehat,sano,herushi-,sanus,-,saudável,sano,-,hälsosam
hear,høre,verstaan,kuulla,oyons,vernehme,-,sentisti,hia,audire,få vite,ouça,oír,-,åhöra
heart,hjerte,hart,sydän,coeur,herz,jantung,cuore,chuushin,cor,kjerne,coração,corazo,moyo,hjärta
heat,ild,gloed,lämmittää,chaleur,wärme-,panas,calore,atsusa,-,løpetid,calor,calor,-,hetta
heavy,tung,drukkend,-,emporté,schwer,berat,pesante,tadai,-,tung,pesado,abrupto,zito,tung
help,hjælpe,assisteren,auttaa,aide,hilfe,bantuan,aiuto,sewaninaru,auxilium,hjelp,ajuda,ayudar,msaada,hjälp
her,sin,haar,hän,son,es,-,lei,-,suus,hennes,ela,ello,ake,henne
here,her,hier,-,ici,hier,-,quite,korede,hic,her,aqui,aquí,humu,hit
high,høj,hoog,korkea,haut,hoch,-,altissimo,kihou,altus,høy,elevado,sumamente,-,hög
hill,bakke,aanaarden,-,élévation,anhöhe {f},-,collina,hiru,collis,ås,monte,colina,mlima,kulle
hip,hofte,heup,lonkka,hanche,hüfte,-,anca,koshi,coxendix,nype,quadril,cadera,-,höft
hit,banke,slaan,lyödä,frapper,hieb,pukul,picchiare,atari,-,ramme,bater,batido,-,träffa
hold,bevare,-,pitää,stopper,halten,memegang,durare,ho-rudo,tenere,tak,porão,continuar,-,tag
hole,hul,groef,reikä,réduit,markierung,lubang,fossa,ana,-,hull,furo,agujero,tundu,glugg
honest,ærlig,eerlijk,rehellinen,honnête,ehrlich,jujur,onesto,ryoushinteki,probus,ærlig,honesto,leal,-,rejäl
honey,honning,honing,hunaja,miel,honig,-,miele,hani-,-,honning,mel,miel,asali,honung
hope,håbe,hopen,toivoa,erspérer,hoffe,harap,sperare,mikomi,spes,håp,esperança,esperanza,-,förhasta
horse,hest,paard,hevonen,cheval,pferd,kuda,cavallo,uma,caballus,hest,cavalo,bayo,farasi,häst
hotel,hotel,hotel,hotelli,hotel,hotel,hotel,albergo,hoteru,-,hotell,hotel,hotel,hoteli,hotell
hour,time,uur,tunti,heure,stunde,jam,lezione,jibun,hora,time,hora,hora,saa,tidpunkt
house,hus,geslacht,talo,maison,haus,-,casa,taku,villa,hus,casa,casa,nyumba,hus
how,-,hoe,miten,comme,wie,sebagai,come,doushite,-,hvordan,como,cuan,kama,hur
however,-,echter,kuitenkin,toutefois,dennoch,-,in ogni modo,shikaruni,tamen,hvordan,embora,realmente,lakini,likväl
hundred,hundrede,honderd,sata,centaine,hundert,-,cento,hyaku,centum,hundre,cem,cien,mia,hundra
husband,mand,gemaal,puoliso,époux,mann,suami,consorte,aruji,-,ektemann,marido,marido,mume,man
hut,hytte,hut,mökki,hutte,hütte,-,capanna,fuseya,casa,hytte,cabana,cabana,kibanda,nav
i,jeg,mij,minä,j',ich,aku,me,hon'in,ego,jeg,-,yo,mimi,in
ice,is,ijsje,jää,glace,eis,es,ghiaccio,aisu,-,ise,gelo,helado,-,is
idea,idé,idee,aate,trouvaille,idee,ide,nozione,sakui,-,tanke,idéia,concepto,-,idé
illness,sygdom,ziekte,-,maladie,-,penyakit,malattia,irei,morbus,sykdom,doença,enfermedad,ugonjwa,åkomma
important,vigtig,erg,tärkeä,grave,bedeutend,penting,vistoso,inpo-tanto,-,viktig,importante,grave,kubwa,viktig
in,i,per,-,dans,in,-,negli,oite,in,inn,em,por,ndani ya,på
induce,slutte,besluiten,tehdä johtopäätös,induis,veranlassen,-,provocare,yuuhatsu,concludere,bevege,induza,inducir,-,förmå
industrious,flittig,naarstig,ahkera,assidûment,fleißig,giat,valente,temame,-,flittig,aplicado,industrioso,-,idog
inexpensive,billig,goedkoop,-,abordable,preiswert,murah,economico,teiren,vilis,billig,barato,barato,rahisi,-
infant,barn,kind,lapsi,enfant,kleinkind,-,fanciullo,akachan,infans,spedbarn,criança,niño,mtoto,-
inhabitant,indbygger,inwoner,-,habitant,einwohner,-,abitatore,juunin,incola,beboer,habitante,morador,mwenyeji,invånare
ink,blæk,inkt,muste,encre,tinte,tinta,inchiostro,sumi,-,blekk,tinta,tinta,wino,bläck
inside,på,per,-,dans,inneres,-,di dentro,naimenteki,in,innside,para dentro,en,katika,inne
interesting,interessant,interessant,kummallinen,intéressant,anteil,menarik,interesante,omoshiroi,-,interessant,interessar,enderezado,-,intressant
iron,strygejern,ijzeren,rauta,fer à repasser,eisen,besi,ferro,airon,ferrum,-,férreo,plancha,chuma,järn
island,ø,eiland,saari,île,insel,pulau,isola,shima,insula,øy,console,isla,kisiwa,ö
january,januar,louwmaand,tammikuu,janvier,januar,januari,gennaio,ichigatsu,-,januar,janeiro,enero,januari,januari
job,embede,emplooi,virka,métier,arbeit {f},-,lavoro,jobu,labor,spekulere,tarefa,trabajo,kazi,jobb
join,forene,zich aansluiten,sitoa,joignent,verbinden,mengikat,legare,setsuzoku,adiungere,forbinde,junte,reunirse,-,foga
journey,rejse,toer,matka,voyage,reise,perjalanan,itinerario,enro,-,reise,viagem,viaje,safari,resa
joy,glæde,blijdschap,ilo,joie,-,-,consolazione,gojou,gaudium,glede,alegria,alegría,furaha,fröjd
judge,dømme,beoordelen,tuomita,juge,richter,hakim,giudice,jajji,-,dømme,juiz,juez,-,bedöma
jug,kande,kan,ruukku,pot,krug,-,orcia,kame,-,potte,jarro,jarro,chungu,kanna
juice,saft,sap,mehu,jus,saft,air perah,succo,shoueki,-,kraft,suco,zumo,-,saft
july,juli,juli,heinäkuu,juillet,juli,juli,luglio,shichigatsu,-,juli,julho,julio,julai,juli
jump,springe,springen,hypätä,sautent,sprung,melompat,saltellare,tobikomi,salire,hoppe,salto,brinco,-,hoppa
june,juni,zomermaand,kesäkuu,juin,juni,juni,giugno,rokugatsu,-,juni,junho,junio,juni,juni
just,retfærdig,billijk,juuri,juste,gerade,adil,equanime,tadashii,solum,rimelig,somente,solamente,tu,rättvis
key,nøgle,toonschaal,sävelasteikko,clé,passfeder,kunci,chiave,ki-,clavis,nøkkel,chave,tecla,ufunguo,nyckel
kill,dræbe,ombrengen,-,tuent,töten,bunuh,uccidere,uchitoru,absumere,drepe,matança,matar,-,slå ihjäl
kind,art,vriendelijk,ystävällinen,aimable,sorte {f},macam,fare,you,lepidus,vennlig,amável,bondadoso,-,god
king,dame,dam,kuningas,dame,könig,-,-,kokuou,rex,konge,rei,rey,mfalme,konung
knee,knæ,knie,polvi,genou,knie,lutut,ginocchio,ni-,genu,kne,joelho,rodilla,goti,knä
knife,kniv,mes,-,lingue,messer,pisau,coltello,debabouchou,smila,kniv,faca,cuchillo,kisu,kniv
know,vide,kennen,tuntea,savons,können,tahu,potere,nou,scire,kunne,saber,saber,-,veta
lake,sø,waterplas,järvi,marin,see,-,navale,re-ku,lacus,sjø,lago,lago,-,insjö
lamp,lampe,lamp,lamppu,lampe,lampe,lampu,lampada,ranpu,lychnus,lampe,lâmpada,lampara,taa,lampa
land,land,aan land gaan,maa,atterrir,boden,darat,terreno,rando,tellus,lande,terra,aterrizar,ulaya,ägor
language,sprog,taal,kieli,parole,sprache,bahasa,idioma,range-ji,lingua,språk,língua,idioma,lugha,språk
large,stor,groot,iso,grand,groß,besar,grande,ko,-,utstrakt,grande,anchuroso,kubwa,stor
last,forbigangen,voorgaand,viimeinen,dernier,zuletzt,-,ultimo,saishuu,-,vare,último,postrero,a mwisho,sist
law,lov,recht,laki,loi,gesetz,hukum,legge,nori,lex,rett,lei,ley,-,lag
lead,føre,de weg wijzen,opastaa,guider,blei,pimpin,condurre,sentou,adducere,ledelse,ligação,guiar,-,föra
leader,chef,gebieder,päällikkö,causeur,führer {m},majikan,guida,shuhan,-,leder,líder,jefe,jumbe,ledare
leaf,blad,vel,lehti,feuille,blatt,-,sfogliare,ha,folium,blad,folha,hoja,jani,blad
lean,mager,schragen,nojata,maigre,mager,tipis,sostenere,kei,-,helle,delgado,apoyarse,-,mager
leap,springe,springen,hypätä,sauter,springen,lompat,saltare,chouyaku,salire,sprang,pulo,brincar,-,språng
leather,læder,taai,nahka,cuir,leder,kulit,cuoio,kawa,corium,lær,couro,cuero,-,läder
leave,løslade,op reis gaan,jättää,laisser,verlassen,-,andàrsene,tachisaru,abætere,reise,licença,irse,-,utträda
leg,ben,been,sääri,jambe,bein,-,gamba,katai,crus,lår,pé,pierna,mguu,-
lemon,citron,citroen,sitruuna,citron,zitrone,jeruk,limone,remon,-,sitron,limão,limon,-,citron
letter,bogstav,zendbrief,kirjain,missive,brief,surat,epistolare,shousoku,epistola,bokstav,carta,letra,barua,skrivelse
lie,løgn,liggen,maata,mentir,lüge,baring ... berbaring,circostanza,rai,cubare,løgn,mentira,mentir,uongo,lögn
life,liv,leven,-,vie,leben,-,stare,itonami,vita,liv,vida,vida,maisha,leverne
light,let,aansteken,valo,camoufle,hell,enteng,lampada,ranpu,lumen,belysning,débil,lampara,nuru,sken
lightning,lyn,bliksem,salama,fulgurer,blitz,-,baleno,denkou,fulgetrum,lyn,relâmpago,relámpago,umeme,-
like,synes om,hoe,miten,de suite,gernhaben,sebagai,simile,douyou,-,som,quão,parejo,kama,liksom
line,medesnøre,vislijn,viiva,raie,furche,baris,riga,rain,vicis,bransje,fio,turno,mstari,linje
lion,løve,leeuw,leijona,lion,löwe,-,leone,raion,leo,løve,leão,león,simba,lejon
lip,læbe,lip,huuli,lèvre,lippe,bibir,labbra,rippu,labia,leppe,bordo,labio,-,läpp
list,liste,uitlisten,lista,énumérer,auflisten,daftar,numerare,meikan,-,slagside,lista,detallar,-,förteckning
little,lille,gering,-,petit,klein,kecil,piccolo,kinshou,-,litt,pequeno,pequeño,dogo,litet
liver,lever,lever,maksa,foie,leber,hati,epatico,reba-,-,lever,fígado,hígado,-,lever
load,læs,laden,lasti,chargement,aufladen,memuati,caricato,ro-do,-,last,carga,carga,mzigo,ladda
loaf,brød,mik,leipä,pain,laib,roti,pagnotta,-,pane,brød,pão,pan,mkate,limpa
lobster,hummer,langoest,hummeri,homard,hummer,-,aragosta,ebi,locusta,hummer,lagosta,langosta,-,hummer
long,lang,lang,pitkä,longuement,lang,-,vasto,daradara,longus,lenge,comprido,largo,refu,lång
look,betragte,het uiterlijk hebben van,katsella,regardons,schauen,-,cera,gorannasai,spectare,blikk,olhar,acreditar,-,titt
love,elske,beminnen,rakastaa,aimez,liebe,kasih,amore,koigokoro,amor,elskede,amor,amor,-,kärlek
lovely,behagelig,behaaglijk,suloinen,charmant,lieblich,cantik,ameno,itoshii,pulcher,yndig,formoso,agradable,zuri,älsklig
low,lav,laag,-,inférieure,nieder,rendah,inferiore,hikui,abiectus,nedslått,baixo,bajo,-,gemen
loyal,tro,getrouw,uskollinen,loyal,loyal,setia,fido,roiyaru,-,lojal,leal,fiel,-,trogen
lump,brud,prop,kimpale,morceau,kloß,-,cumulo,kobu,-,klumpe,protuberância,pedazo,kipande,klimp
machine,-,machine,kone,machine,bearbeiten,mesin,ordigno,mashi-n,-,maskin,máquina,maquina,mtambo,maskin
mad,-,dolzinnig,hullu,fou,irre,gila,arrabbiato,kichigai,amens,rasende,louco,enojado,-,tokig
magazine,tidskrift,blad,sanomalehti,gazette,zeitschrift,-,periodico,zasshi,-,tidsskrift,jornal,periódico,gazeti,tidskrift
man,menneske,mens,mies,mâle,mann,manusia,persona,banbutsunoreichou,vir,menneske,homem,hombre,mwanamume,människa
march,gå,lopen,marssia,marcher,märz,maret,camminare,yayoi,ambulare,mars,março,andar,machi,tåga
market,torv,marktplein,markkinat,commercialisons,markt,pasar,mercato,hanro,-,torg,mercado,mercado,soko,marknad
matter,anliggende,aangelegenheid,asia,matière,sache,perkara,stoffa,naiyou,causa,anliggende,matéria,materia,jambo,ärende
mattress,madras,matras,-,matelas,matratze,tikar,materasso,shikibuton,sisurna,madrass,colchão,colchón,-,madrass
may,maj,bloeimaand,voida,mai,möge.mai,mei,potere,kamoshirenai,-,mai,maio,mayo,mei,må
maybe,måske,misschien,-,peut-être,vielleicht,boleh jadi,chissà,moshikashitara,fortasse,kanskje,talvez,quizá,labda,kanske
me,mig,mij,minä,je,mir,aku,me,ware,ego,-,mim,me,mimi,mig
meal,mel,bloem,jauhot,repas,essen,-,pietanza,mi-ru,-,mel,refeição,harina,unga,mål mat
means,værktøj,middel,keino,ressource,bedeutet,perkakas,espediente,shikata,-,middel,significa,medios,-,utväg
